WKT,Status,x,y,Block
"POINT (4.50555949345559 34.6584325396375)",Not Start,4.5055594930,34.6584325300,G1
"POINT (4.50555361411188 34.6585044131605)",Not Start,4.5055536140,34.6585044100,G1
"POINT (4.5055476439917 34.6585771820939)",Not Start,4.5055476440,34.6585771800,G1
"POINT (4.50554167286289 34.6586499609763)",Not Start,4.5055416720,34.6586499600,G1
"POINT (4.50553579351918 34.6587218344994)",Not Start,4.5055357930,34.6587218300,G1
"POINT (4.50553088859324 34.6587811221212)",Not Start,4.5055308880,34.6587811200,G1
"POINT (4.50552692947945 34.6588290974515)",Not Start,4.5055269290,34.6588290900,G1
"POINT (4.50552212404355 34.6588883951596)",Not Start,4.5055221240,34.6588883900,G1
"POINT (4.50551624469984 34.6589602686827)",Not Start,4.5055162440,34.6589602600,G1
"POINT (4.50551027457966 34.6590330376161)",Not Start,4.5055102740,34.6590330300,G1
"POINT (4.50550430445947 34.6591058065494)",Not Start,4.5055043040,34.6591058000,G1
"POINT (4.50549842511576 34.6591776800725)",Not Start,4.5054984250,34.6591776800,G1
"POINT (4.50549254577205 34.6592495535956)",Not Start,4.5054925450,34.6592495500,G1
"POINT (4.50548657565187 34.6593223225289)",Not Start,4.5054865750,34.6593223200,G1
"POINT (4.50548060553168 34.6593950914623)",Not Start,4.5054806050,34.6593950900,G1
